문장 번호,해당 음성 파일,스크립트
Sobak_001,Sobak_NAR_001,위험해!\n삐용삐용~! 위험 신호 감지됨!\n안녕? 나는 화재 안전을 도와주는\n너의 수호천사 소백이야!
Sobak_002,Sobak_NAR_002,무슨 상황인지 모르겠는 표정이네!\n내가 설명해 줄게
Sobak_003,Sobak_NAR_003,이곳에 있는 가구들은 위험한 상태야\n이대로 두면 무시무시한\n불꽃 악동 태우리가 나타날 거야
Sobak_004,Sobak_NAR_004,우선 나랑 같이 가구들에\n태우리가 나타나지 않도록 예방해보자
Sobak_005,Sobak_NAR_005,어떻게 하면 되냐고?\n걱정 마 내가 자세히 알려줄게!
Sobak_006,Sobak_NAR_006,자 반짝거리는 예방 가능한 가구들을 찾아볼까?
Sobak_007,Sobak_NAR_007,좋아! 버튼을 눌러서 화재를 예방해!
Sobak_008,Sobak_NAR_008,잘 했어! 이제 이 가구는 불로부터 안전해~딩
Sobak_009,Sobak_NAR_009,휴유~ 일단 급한 예방 조치는 완료했어!\n하지만 아직 부족해\n곧 예방하지 않은 가구에서\n태우리들이 등장 할거야
Sobak_010,Sobak_NAR_010,너무 무서워하지 마\n나랑 함께 태우리들을 잡아내자!
Sobak_011,Sobak_NAR_011,태우리를 잡기 위해선 소화기가 필요해!\n주변에서 소화기를 찾아봐!
Sobak_012,Sobak_NAR_012,좋아! 버튼을 눌러서 소화기를 잡아보자
Sobak_013,Sobak_NAR_013,잘 했어! 이제 태우리를 잡을 수 있겠어~
Sobak_014,Sobak_NAR_014,소화기가 다 떨어졌어!\n주변의 소화기에서 충전하자!
Sobak_015,Sobak_NAR_015,좋아! 버튼을 눌러서 소화기를 충전해!
Sobak_016,Sobak_NAR_016,앗! 태우리들이 강해졌어!\n불이 강해져서 이대로는 잡기 어려울 거 같아\n그렇다면! 내가 소화기도 강화시켜 줄게 이얍!\n이제 소화기를 충전 할 필요도 없어!\n많아진 태우리를 더욱 빠르게 잡아보자!
Sobak_017,Sobak_NAR_017,잘 하고 있어! 조금만 더 힘내!
