문장 번호,해당 음성 파일,스크립트
TUT_001,Tutorial_NAR_001,안녕하세요?\n이곳은 걷고 버튼 누르는 법을 배우는 곳이에요.\n먼저 직접 걸어다녀볼까요?
TUT_002,Tutorial_NAR_002,직접 걸으면 게임 속에서도 움직일 수 있어요.\n눈 앞에 있는 화살표 그림을 따라가보세요.\n동그라미로 가면 끝이에요.
TUT_003,Tutorial_NAR_003,잘했어요!
TUT_004,Tutorial_NAR_004,이제 물건을 만져볼까요?\n반짝이는 물건 앞에서 손가락으로 버튼을 눌러보세요.
TUT_005,Tutorial_NAR_005,멋져요!\n앞으로도 반짝이는 물건은 꼭 눌러보세요!
TUT_006,Tutorial_NAR_006,마지막으로 소화기를 사용해봐요.\n소화기는 빨간색이고 불을 끄는 물건이에요.\n앞에 있는 소화기에 버튼을 누르면 들 수 있어요.\n손에 들고 버튼을 눌러 사용해보세요.
TUT_007,Tutorial_NAR_007,소화기를 다 쓰면 새 걸로 바꿔야 해요.\n앞에 있는 소화기에 버튼을 눌러 새 소화기로 바꿔봐요.
TUT_008,Tutorial_NAR_008,잘했어요!\n모두 끝났어요.
TUT_009,Tutorial_NAR_009,아직 안 끝난 친구들이 남아 있어요.\n친구들이 끝날 때까지 조금만 기다리기로 해요.\n기다리는 동안 마음대로 움직여도 좋아요.
TUT_010,Tutorial_NAR_010,이제 게임을 시작할거예요.\n기다려주세요!
TUT_011,Tutorial_NAR_011,아쉽지만 이제 다음 게임으로 가야해요.\n기다려주세요!
